epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6916,1.17741,1.17518,1.47571,0.95947,0.97457,0.995,0.82099,0.65853,0.72018,0.89517,0.000545744,0.000545744,0.000545744
2,31.2289,1.16616,1.32086,1.22365,0.99429,0.97373,0.995,0.72966,0.88055,0.82572,0.98225,0.00109051,0.00109051,0.00109051
3,46.4934,1.10667,1.34746,1.23255,0.99175,0.99531,0.995,0.6958,0.9353,0.86407,0.98571,0.00162427,0.00162427,0.00162427
4,62.0848,1.07388,1.31851,1.19454,0.99675,1,0.995,0.71633,0.94942,0.78733,0.99543,0.00161749,0.00161749,0.00161749
5,78.4653,1.10964,1.24266,1.18319,0.978,0.99568,0.995,0.7189,0.97319,0.77838,1.00757,0.00160099,0.00160099,0.00160099
6,93.0378,1.04379,1.19771,1.1723,0.99776,0.98553,0.995,0.76326,0.76537,0.69155,0.93246,0.00158448,0.00158448,0.00158448
7,109.074,1.03105,1.1258,1.1243,0.99533,0.98387,0.99453,0.66796,1.11989,0.80074,1.05096,0.00156798,0.00156798,0.00156798
8,126.043,1.14878,1.29516,1.22413,0.98504,0.99236,0.995,0.7355,0.85466,0.79048,0.9678,0.00155148,0.00155148,0.00155148
9,143.008,1.04768,1.17875,1.16735,0.99332,0.9988,0.995,0.73447,0.84477,0.68641,0.98205,0.00153497,0.00153497,0.00153497
10,160.246,0.98111,1.02779,1.11582,0.99729,0.99829,0.995,0.76318,0.75833,0.61483,0.94566,0.00151847,0.00151847,0.00151847
11,175.881,0.89179,1.54855,1.08947,0.99247,1,0.995,0.73504,0.81027,0.6728,0.9715,0.00150197,0.00150197,0.00150197
12,191.777,0.97606,1.24372,1.18039,0.99274,1,0.995,0.73669,0.82536,0.67662,0.9571,0.00148546,0.00148546,0.00148546
13,208.807,0.94109,1.12843,1.09291,0.99355,1,0.995,0.75392,0.86332,0.69978,0.93854,0.00146896,0.00146896,0.00146896
14,225.578,0.90358,0.96539,1.0579,0.99513,1,0.995,0.78201,0.71653,0.55533,0.91034,0.00145246,0.00145246,0.00145246
15,242.776,0.85675,0.92902,1.05694,0.99713,1,0.995,0.80322,0.72624,0.60853,0.91569,0.00143595,0.00143595,0.00143595
16,258.013,0.87346,0.90986,1.09517,0.9925,1,0.995,0.77975,0.76363,0.58643,0.92173,0.00141945,0.00141945,0.00141945
17,273.343,0.81184,0.93502,1.00881,0.99704,1,0.995,0.7864,0.68152,0.55741,0.90729,0.00140295,0.00140295,0.00140295
18,288.581,0.8312,0.89342,1.02425,0.99329,0.99965,0.995,0.76782,0.80614,0.62382,0.92153,0.00138644,0.00138644,0.00138644
19,304.41,0.88974,0.91667,1.05078,0.99671,1,0.995,0.79068,0.74891,0.53114,0.89967,0.00136994,0.00136994,0.00136994
20,319.945,0.90884,0.99011,1.18703,0.99811,0.99963,0.995,0.79575,0.7208,0.56917,0.90314,0.00135344,0.00135344,0.00135344
21,334.254,0.85902,0.89748,1.05346,0.99787,0.99833,0.995,0.8168,0.66052,0.54319,0.88784,0.00133693,0.00133693,0.00133693
22,348.368,0.8754,0.92519,1.06034,0.99817,0.999,0.995,0.78215,0.76646,0.53405,0.92786,0.00132043,0.00132043,0.00132043
23,362.855,0.81888,1.02619,1.00086,0.99648,1,0.995,0.80922,0.70736,0.51787,0.90622,0.00130393,0.00130393,0.00130393
24,377.095,0.88291,0.93944,1.04256,0.99705,1,0.995,0.76799,0.81414,0.5086,0.94085,0.00128742,0.00128742,0.00128742
25,392.958,0.80882,0.81413,1.01168,0.9937,1,0.995,0.79897,0.67554,0.4754,0.90588,0.00127092,0.00127092,0.00127092
26,409.006,0.8395,0.8179,1.05516,0.99535,1,0.995,0.7511,0.80955,0.51786,0.93832,0.00125442,0.00125442,0.00125442
27,427.192,0.85428,0.85565,1.05401,0.99388,1,0.995,0.78323,0.8293,0.52083,0.92306,0.00123791,0.00123791,0.00123791
28,443.328,0.78287,0.91347,0.97173,0.99804,0.99847,0.995,0.79176,0.71084,0.49334,0.91234,0.00122141,0.00122141,0.00122141
29,458.643,0.78756,0.79463,1.00735,0.99608,0.99857,0.995,0.8098,0.67266,0.48719,0.90469,0.00120491,0.00120491,0.00120491
30,474.627,0.77851,0.75686,0.98211,0.99175,0.99876,0.995,0.84707,0.62183,0.46548,0.87336,0.0011884,0.0011884,0.0011884
31,490.194,0.79743,0.79316,1.02959,0.99408,0.99865,0.995,0.79512,0.74056,0.4787,0.90393,0.0011719,0.0011719,0.0011719
32,505.359,0.77085,0.72524,0.98329,0.99481,0.99922,0.995,0.84012,0.61297,0.44104,0.86979,0.0011554,0.0011554,0.0011554
33,521.678,0.79691,0.75143,0.99557,0.99409,0.99928,0.995,0.8228,0.66605,0.45806,0.88464,0.00113889,0.00113889,0.00113889
34,537.398,0.78017,0.74145,0.96688,0.99577,0.99833,0.995,0.86441,0.55613,0.4452,0.85407,0.00112239,0.00112239,0.00112239
35,552.116,0.73972,0.766,0.98011,0.99522,1,0.995,0.80623,0.70491,0.44457,0.88362,0.00110589,0.00110589,0.00110589
36,567.799,0.7619,0.70941,0.97447,0.99413,1,0.995,0.85103,0.59033,0.42007,0.86426,0.00108938,0.00108938,0.00108938
37,582.086,0.7389,0.94473,0.99568,0.99625,1,0.995,0.84027,0.6238,0.42587,0.87089,0.00107288,0.00107288,0.00107288
38,596.876,0.72254,0.84661,0.99219,0.99362,1,0.995,0.8445,0.58614,0.43696,0.86201,0.00105638,0.00105638,0.00105638
39,612.346,0.70501,0.82976,0.93896,0.99429,1,0.995,0.81545,0.66846,0.45239,0.87674,0.00103987,0.00103987,0.00103987
40,628.351,0.72557,0.76865,0.95239,0.99369,1,0.995,0.83002,0.59977,0.44102,0.86545,0.00102337,0.00102337,0.00102337
41,642.736,0.73659,0.75813,0.99531,0.99603,1,0.995,0.85346,0.54633,0.41485,0.85016,0.00100687,0.00100687,0.00100687
42,657.845,0.72953,0.72303,0.97432,0.99548,1,0.995,0.80539,0.75591,0.46104,0.90202,0.000990365,0.000990365,0.000990365
43,673.126,0.76387,0.70007,0.94645,0.99293,0.99874,0.995,0.85067,0.56611,0.42531,0.86665,0.000973861,0.000973861,0.000973861
44,687.52,0.85304,0.86892,1.02198,0.99737,0.99991,0.995,0.83809,0.56247,0.4012,0.86307,0.000957358,0.000957358,0.000957358
45,702.82,0.82599,0.69477,0.97935,0.99795,1,0.995,0.79558,0.73607,0.4332,0.90028,0.000940855,0.000940855,0.000940855
46,716.431,0.79024,0.68527,0.97457,0.9973,1,0.995,0.81197,0.66607,0.42371,0.88976,0.000924352,0.000924352,0.000924352
47,730.47,0.80625,0.7677,0.99476,0.99679,1,0.995,0.87762,0.51729,0.38995,0.85247,0.000907848,0.000907848,0.000907848
48,743.742,0.77733,0.7125,0.97829,0.99607,1,0.995,0.77904,0.79074,0.45534,0.91952,0.000891345,0.000891345,0.000891345
49,760.668,0.81454,0.70176,0.995,0.99506,1,0.995,0.75345,0.90092,0.49263,0.95358,0.000874842,0.000874842,0.000874842
50,774.761,0.73766,0.71036,0.96419,0.99514,1,0.995,0.85585,0.57817,0.41691,0.86508,0.000858338,0.000858338,0.000858338
51,789.703,0.72124,0.78552,0.95039,0.9979,1,0.995,0.87252,0.53312,0.40407,0.85192,0.000841835,0.000841835,0.000841835
52,802.533,0.77316,0.68753,0.99327,0.99763,1,0.995,0.78353,0.87858,0.48834,0.93575,0.000825332,0.000825332,0.000825332
53,815.682,0.72462,0.65105,0.98168,0.99799,1,0.995,0.75371,0.92139,0.48305,0.94672,0.000808828,0.000808828,0.000808828
54,830.59,0.72126,0.66297,0.97117,0.99569,0.99927,0.995,0.86238,0.55807,0.40189,0.8602,0.000792325,0.000792325,0.000792325
55,844.07,0.74307,0.88178,0.95297,0.98996,0.99858,0.995,0.87117,0.54806,0.42614,0.86337,0.000775822,0.000775822,0.000775822
56,857.194,0.67502,0.82584,0.94843,0.99115,0.99887,0.995,0.74949,0.95524,0.49069,0.9657,0.000759318,0.000759318,0.000759318
57,870.283,0.84815,0.67866,0.97219,0.99466,0.99952,0.995,0.7093,1.08119,0.51026,1.00171,0.000742815,0.000742815,0.000742815
58,884.715,0.80157,0.72124,0.98491,0.9968,0.99998,0.995,0.79,0.74632,0.43617,0.89791,0.000726312,0.000726312,0.000726312
59,897.943,0.72217,0.68367,0.96129,0.99642,0.99939,0.995,0.86598,0.53295,0.37411,0.86255,0.000709809,0.000709809,0.000709809
60,910.9,0.77057,0.73934,1.01715,0.99648,0.99922,0.995,0.83627,0.59002,0.385,0.87041,0.000693305,0.000693305,0.000693305
61,924.154,0.69968,0.7887,0.97153,0.99551,0.99897,0.995,0.81452,0.69381,0.40162,0.88782,0.000676802,0.000676802,0.000676802
62,937.155,0.67625,0.64178,0.94634,0.99684,0.99997,0.995,0.82228,0.69511,0.40515,0.88212,0.000660299,0.000660299,0.000660299
63,950.77,0.62238,0.60528,0.94801,0.99646,1,0.995,0.80042,0.7069,0.40453,0.89993,0.000643795,0.000643795,0.000643795
64,963.216,0.65083,0.62827,0.91967,0.99455,1,0.995,0.82858,0.64486,0.39951,0.88757,0.000627292,0.000627292,0.000627292
65,976.317,0.64649,0.61611,0.95641,0.99443,0.99932,0.995,0.82979,0.62793,0.37813,0.87868,0.000610789,0.000610789,0.000610789
66,989.692,0.66659,0.64511,0.95817,0.99299,0.99834,0.995,0.83838,0.607,0.38662,0.86626,0.000594286,0.000594286,0.000594286
67,1002.26,0.64058,0.61733,0.9407,0.99719,0.99998,0.995,0.85049,0.60639,0.36568,0.8643,0.000577782,0.000577782,0.000577782
68,1015.23,0.62175,0.56669,0.92651,0.99523,1,0.995,0.84751,0.58983,0.37038,0.86971,0.000561279,0.000561279,0.000561279
69,1027.86,0.67223,0.605,0.94579,0.99681,1,0.995,0.86225,0.54291,0.3592,0.86046,0.000544776,0.000544776,0.000544776
70,1041.38,0.67164,0.62159,0.95623,0.99674,1,0.995,0.848,0.57412,0.35715,0.86754,0.000528272,0.000528272,0.000528272
71,1055,0.67514,0.61139,0.94379,0.99577,1,0.995,0.8129,0.69957,0.38018,0.89355,0.000511769,0.000511769,0.000511769
72,1067.88,0.64494,0.9529,0.91756,0.9951,1,0.995,0.83976,0.60499,0.38481,0.8692,0.000495266,0.000495266,0.000495266
73,1080.7,0.6411,0.6383,0.92709,0.99472,1,0.995,0.86453,0.55153,0.37007,0.85498,0.000478762,0.000478762,0.000478762
74,1093.71,0.64114,0.62941,0.91584,0.99662,1,0.995,0.83227,0.61802,0.37,0.86744,0.000462259,0.000462259,0.000462259
75,1107.18,0.64577,0.60076,0.93386,0.99711,1,0.995,0.82463,0.67156,0.39533,0.88485,0.000445756,0.000445756,0.000445756
76,1119.95,0.71932,0.65397,0.97334,0.99519,1,0.995,0.85742,0.54159,0.34545,0.85359,0.000429253,0.000429253,0.000429253
77,1132.43,0.61789,0.54247,0.90946,0.99489,1,0.995,0.86694,0.53071,0.34094,0.84776,0.000412749,0.000412749,0.000412749
78,1145.11,0.62444,0.59148,0.93384,0.99598,1,0.995,0.83201,0.65152,0.36471,0.8683,0.000396246,0.000396246,0.000396246
79,1157.49,0.6131,0.62709,0.9039,0.99711,1,0.995,0.83781,0.63772,0.37189,0.86355,0.000379743,0.000379743,0.000379743
80,1170.61,0.59115,0.57642,0.91445,0.9976,1,0.995,0.86736,0.54565,0.35747,0.84883,0.000363239,0.000363239,0.000363239
81,1183.33,0.65719,0.62891,0.92917,0.99747,1,0.995,0.86794,0.53691,0.34326,0.84737,0.000346736,0.000346736,0.000346736
82,1195.61,0.60105,0.56258,0.89749,0.99719,1,0.995,0.85279,0.57274,0.34172,0.85534,0.000330233,0.000330233,0.000330233
83,1208.36,0.61216,0.55117,0.92063,0.99707,1,0.995,0.8671,0.54239,0.33468,0.8489,0.000313729,0.000313729,0.000313729
84,1221.05,0.67032,0.61732,0.97372,0.99775,1,0.995,0.87074,0.53251,0.33701,0.85173,0.000297226,0.000297226,0.000297226
