epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27252,0.58282,0.67827,0.87848,0.9955,0.99992,0.995,0.81842,0.71753,0.61798,0.88285,0.00030006,0.00030006,0.00030006
2,13.3874,0.75414,1.09668,0.95434,0.99402,0.99841,0.995,0.77806,0.86256,0.66634,0.92099,0.000610684,0.000610684,0.000610684
3,19.1032,0.94623,1.67343,1.0471,0.9883,0.99818,0.995,0.76921,0.82375,0.70005,0.9278,0.000915036,0.000915036,0.000915036
4,24.5321,0.79631,1.04312,0.92725,0.9883,0.99818,0.995,0.76921,0.82375,0.70005,0.9278,0.00121312,0.00121312,0.00121312
5,29.9681,0.95304,1.01829,1.0342,0.99202,0.99839,0.995,0.79731,0.72889,0.62142,0.90455,0.00150493,0.00150493,0.00150493
6,36.6043,0.94688,0.84191,0.97504,0.99016,0.99856,0.995,0.80569,0.70715,0.62357,0.9133,0.00158448,0.00158448,0.00158448
7,42.1812,0.76267,0.86561,0.93094,0.99016,0.99856,0.995,0.80569,0.70715,0.62357,0.9133,0.00156798,0.00156798,0.00156798
8,48.9702,0.86207,0.8857,0.98237,0.9983,0.98538,0.995,0.70871,1.01027,0.73402,0.99428,0.00155148,0.00155148,0.00155148
9,54.4245,0.8645,0.9375,0.97932,0.9983,0.98538,0.995,0.70871,1.01027,0.73402,0.99428,0.00153497,0.00153497,0.00153497
10,60.252,0.92851,1.10339,0.99734,0.98854,0.98387,0.99453,0.78168,0.8588,0.8122,0.94567,0.00151847,0.00151847,0.00151847
11,66.6102,0.84798,1.04021,0.97566,0.98988,0.98387,0.99409,0.79365,0.76944,0.70211,0.91994,0.00150197,0.00150197,0.00150197
12,72.9448,0.93988,0.96947,1.08952,0.98988,0.98387,0.99409,0.79365,0.76944,0.70211,0.91994,0.00148546,0.00148546,0.00148546
13,79.0444,0.94065,0.95834,1.00732,0.99544,0.98387,0.99409,0.74972,0.88272,0.6782,0.94979,0.00146896,0.00146896,0.00146896
14,84.289,0.87787,0.8572,1.01934,0.99544,0.98387,0.99409,0.74972,0.88272,0.6782,0.94979,0.00145246,0.00145246,0.00145246
15,89.911,0.81144,0.96239,0.99093,0.99262,0.98387,0.99409,0.79417,0.71688,0.60468,0.90309,0.00143595,0.00143595,0.00143595
16,96.0031,0.80586,0.79604,0.95813,0.99282,0.97716,0.99453,0.79309,0.68866,0.60687,0.90236,0.00141945,0.00141945,0.00141945
17,102.361,0.89119,0.831,1.01671,0.99282,0.97716,0.99453,0.79309,0.68866,0.60687,0.90236,0.00140295,0.00140295,0.00140295
18,109.224,0.8882,0.89177,1.00858,0.985,0.98387,0.99453,0.73486,0.85083,0.62407,0.95744,0.00138644,0.00138644,0.00138644
19,115.045,0.74201,0.83353,0.97609,0.985,0.98387,0.99453,0.73486,0.85083,0.62407,0.95744,0.00136994,0.00136994,0.00136994
20,122.127,0.82024,0.92274,0.97476,0.9916,0.99776,0.995,0.73772,0.83768,0.58573,0.95489,0.00135344,0.00135344,0.00135344
