epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8369,0.59186,33.8008,0.24319,0,0,0,0,5.39125,12.8154,1.18565,0,0,0
2,16.1434,5.74395,14.5276,1.58759,0,0,0,0,5.39125,12.8154,1.18565,6.43314e-06,6.43314e-06,6.43314e-06
3,17.4578,2.96937,35.6589,0.79876,0,0,0,0,5.3508,12.7279,1.1916,1.14526e-05,1.14526e-05,1.14526e-05
4,18.9912,0,33.6028,0,0,0,0,0,5.3508,12.7279,1.1916,1.50583e-05,1.50583e-05,1.50583e-05
5,20.1506,4.94596,37.3354,1.06229,0,0,0,0,5.3508,12.7279,1.1916,1.72502e-05,1.72502e-05,1.72502e-05
6,21.3075,5.38481,19.0845,1.17182,0,0,0,0,5.3508,12.7279,1.1916,1.80285e-05,1.80285e-05,1.80285e-05
7,22.6076,0.00256,33.6019,0.00095,0,0,0,0,5.3508,12.7279,1.1916,1.7393e-05,1.7393e-05,1.7393e-05
8,23.8107,0.01968,33.5988,0.00281,0,0,0,0,5.29238,12.3614,1.21344,1.53439e-05,1.53439e-05,1.53439e-05
9,24.9751,0.19059,33.6445,0.06142,0,0,0,0,5.29238,12.3614,1.21344,1.1881e-05,1.1881e-05,1.1881e-05
10,26.119,0.00029,33.5395,5e-05,0,0,0,0,5.29238,12.3614,1.21344,7.00434e-06,7.00434e-06,7.00434e-06
