epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75225,2.38413,2.64821,61.6539,2.14233,0.01521,0.02778,0.00219,0.00046,0,0,0,0,2.45715,2.15141,10.4444,2.37322,0.00034,0.00034,0.00034
2,13.8619,2.33028,1.67975,53.7093,2.04835,0.00056,0.02778,0.00029,0.00012,0,0,0,0,2.57074,2.11291,11.9046,2.39722,0.000694225,0.000694225,0.000694225
3,19.5411,1.99083,1.47333,59.654,1.73382,0.00056,0.02778,0.00029,0.00012,0,0,0,0,2.57074,2.11291,11.9046,2.39722,0.00104251,0.00104251,0.00104251
4,25.9638,2.49282,2.00428,44.7965,2.14269,0.01089,0.02778,0.00142,0.00058,0,0,0,0,3.64574,2.1364,46.0488,3.20048,0.00138485,0.00138485,0.00138485
5,32.0749,2.29363,1.35469,42.2254,1.97651,0.01089,0.02778,0.00142,0.00058,0,0,0,0,3.64574,2.1364,46.0488,3.20048,0.00172126,0.00172126,0.00172126
6,37.9345,2.58173,1.51598,40.7854,2.20575,0.01089,0.02778,0.00142,0.00058,0,0,0,0,3.64574,2.1364,46.0488,3.20048,0.0019175,0.0019175,0.0019175
7,43.8656,2.65205,1.50243,35.8804,2.269,0.00562,0.08333,0.00166,0.00039,0,0,0,0,4.12721,22.8161,428.001,38.3834,0.001901,0.001901,0.001901
8,49.7479,2.47793,1.76703,35.8243,2.08336,0.00562,0.08333,0.00166,0.00039,0,0,0,0,4.12721,22.8161,428.001,38.3834,0.0018845,0.0018845,0.0018845
9,55.837,2.50347,1.58207,35.8748,2.18216,0.00562,0.08333,0.00166,0.00039,0,0,0,0,4.12721,22.8161,428.001,38.3834,0.001868,0.001868,0.001868
10,61.903,2.79702,1.68288,30.4895,2.42114,0.00562,0.08333,0.00166,0.00039,0,0,0,0,4.12721,22.8161,428.001,38.3834,0.0018515,0.0018515,0.0018515
11,68.894,2.89285,1.55005,24.5428,2.41237,0.00078,0.02778,0.00032,3e-05,0,0,0,0,4.48392,9.85846,306.614,29.238,0.001835,0.001835,0.001835
12,75.0186,2.57068,1.24932,21.473,2.22131,0.00078,0.02778,0.00032,3e-05,0,0,0,0,4.48392,9.85846,306.614,29.238,0.0018185,0.0018185,0.0018185
