epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44957,2.36847,2.34756,61.5411,2.13442,0.01667,0.02778,0.00222,0.00065,0,0,0,0,2.42516,1.91423,10.2322,2.35039,0.00034,0.00034,0.00034
2,14.5649,2.32637,1.60826,52.8323,2.05756,0.00056,0.02778,0.00029,9e-05,0,0,0,0,2.59511,2.10368,11.8008,2.39149,0.000696535,0.000696535,0.000696535
3,20.256,1.97781,1.36713,57.5516,1.75003,0.00056,0.02778,0.00029,9e-05,0,0,0,0,2.59511,2.10368,11.8008,2.39149,0.00104951,0.00104951,0.00104951
4,26.5402,2.45063,1.75793,40.6489,2.08317,0.00228,0.08333,0.001,0.00031,0,0,0,0,3.42261,1.84211,52.8771,2.87849,0.00139891,0.00139891,0.00139891
5,32.7597,2.25244,1.22831,40.0797,2.0075,0.00228,0.08333,0.001,0.00031,0,0,0,0,3.42261,1.84211,52.8771,2.87849,0.00174476,0.00174476,0.00174476
6,38.7041,2.51914,1.40492,38.8574,2.19837,0.00228,0.08333,0.001,0.00031,0,0,0,0,3.42261,1.84211,52.8771,2.87849,0.0019505,0.0019505,0.0019505
7,44.3151,2.61397,1.46569,31.9331,2.25276,0,0,0,0,0,0,0,0,3.92515,4.66208,33.7988,5.51732,0.0019406,0.0019406,0.0019406
8,50.2056,2.36963,1.74115,30.5696,2.06205,0,0,0,0,0,0,0,0,3.92515,4.66208,33.7988,5.51732,0.0019307,0.0019307,0.0019307
9,56.3998,2.47843,1.82289,29.968,2.18437,0,0,0,0,0,0,0,0,3.92515,4.66208,33.7988,5.51732,0.0019208,0.0019208,0.0019208
10,62.5212,2.66195,1.78035,24.6197,2.36105,0,0,0,0,0,0,0,0,3.92515,4.66208,33.7988,5.51732,0.0019109,0.0019109,0.0019109
11,69.3196,2.61333,2.1513,24.253,2.29156,0.00444,0.11111,0.0018,0.00041,0,0,0,0,4.07599,13.5727,173.819,12.9598,0.001901,0.001901,0.001901
12,75.4268,2.45525,2.21255,27.5139,2.11853,0.00444,0.11111,0.0018,0.00041,0,0,0,0,4.07599,13.5727,173.819,12.9598,0.0018911,0.0018911,0.0018911
13,81.9951,2.56966,2.05684,23.9436,2.29629,0.00444,0.11111,0.0018,0.00041,0,0,0,0,4.07599,13.5727,173.819,12.9598,0.0018812,0.0018812,0.0018812
14,88.4447,2.44667,2.23075,28.7708,2.13288,0.00111,0.05556,0.00059,0.00018,0,0,0,0,4.43265,76.2528,751.399,70.1444,0.0018713,0.0018713,0.0018713
15,94.3518,2.64874,1.99258,14.3681,2.33423,0.00111,0.05556,0.00059,0.00018,0,0,0,0,4.43265,76.2528,751.399,70.1444,0.0018614,0.0018614,0.0018614
16,100.904,2.55643,1.79745,15.0641,2.18795,0.00111,0.05556,0.00059,0.00018,0,0,0,0,4.43265,76.2528,751.399,70.1444,0.0018515,0.0018515,0.0018515
17,107.39,2.51138,1.88968,13.7155,2.20217,0.00111,0.05556,0.00059,0.00018,0,0,0,0,4.43265,76.2528,751.399,70.1444,0.0018416,0.0018416,0.0018416
18,113.906,2.52329,1.62847,11.1283,2.13819,0.00111,0.05556,0.00059,0.0002,0,0,0,0,3.51448,10.1723,1658.13,8.31257,0.0018317,0.0018317,0.0018317
19,119.591,2.41059,1.66228,9.64492,2.17157,0.00111,0.05556,0.00059,0.0002,0,0,0,0,3.51448,10.1723,1658.13,8.31257,0.0018218,0.0018218,0.0018218
20,125.395,2.33197,1.56288,10.6568,2.03505,0.00111,0.05556,0.00059,0.0002,0,0,0,0,3.51448,10.1723,1658.13,8.31257,0.0018119,0.0018119,0.0018119
21,131.201,2.76724,1.9081,9.15614,2.34589,0.00111,0.05556,0.00059,0.0002,0,0,0,0,3.51448,10.1723,1658.13,8.31257,0.001802,0.001802,0.001802
