epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72241,2.38413,2.64821,61.6539,2.14233,0.01521,0.02778,0.00219,0.00046,0,0,0,0,2.45715,2.15141,10.4444,2.37322,0.00034,0.00034,0.00034
2,13.7518,2.32714,1.67948,53.6983,2.04671,0.00056,0.02778,0.00029,0.00012,0,0,0,0,2.57393,2.11983,11.8848,2.40118,0.000696535,0.000696535,0.000696535
3,19.3575,1.99302,1.47256,59.6102,1.73453,0.00056,0.02778,0.00029,0.00012,0,0,0,0,2.57393,2.11983,11.8848,2.40118,0.00104951,0.00104951,0.00104951
4,25.7041,2.4897,2.00468,44.8212,2.13894,0.01317,0.02778,0.00118,0.0006,0,0,0,0,3.66969,2.13793,46.5773,3.25465,0.00139891,0.00139891,0.00139891
5,31.6785,2.28488,1.36294,42.1857,1.96854,0.01317,0.02778,0.00118,0.0006,0,0,0,0,3.66969,2.13793,46.5773,3.25465,0.00174476,0.00174476,0.00174476
6,37.3546,2.57319,1.52368,41.1161,2.18693,0.01317,0.02778,0.00118,0.0006,0,0,0,0,3.66969,2.13793,46.5773,3.25465,0.0019505,0.0019505,0.0019505
7,43.0888,2.66021,1.506,36.0089,2.2679,0.00247,0.05556,0.00076,0.0002,0,0,0,0,4.34422,29.3708,536.084,48.0396,0.0019406,0.0019406,0.0019406
8,48.9734,2.53246,1.7945,36.5563,2.12209,0.00247,0.05556,0.00076,0.0002,0,0,0,0,4.34422,29.3708,536.084,48.0396,0.0019307,0.0019307,0.0019307
9,54.8016,2.55853,1.61547,36.4439,2.21641,0.00247,0.05556,0.00076,0.0002,0,0,0,0,4.34422,29.3708,536.084,48.0396,0.0019208,0.0019208,0.0019208
10,60.8634,2.83587,1.7048,30.8424,2.44161,0.00247,0.05556,0.00076,0.0002,0,0,0,0,4.34422,29.3708,536.084,48.0396,0.0019109,0.0019109,0.0019109
11,67.676,2.89301,1.5693,24.1833,2.42478,0.00317,0.02778,0.00087,0.00026,0,0,0,0,4.37762,9.49991,303.538,25.5299,0.001901,0.001901,0.001901
12,73.6796,2.58071,1.24706,20.6754,2.23716,0.00317,0.02778,0.00087,0.00026,0,0,0,0,4.37762,9.49991,303.538,25.5299,0.0018911,0.0018911,0.0018911
13,79.6272,2.74476,1.20825,17.9781,2.37109,0.00317,0.02778,0.00087,0.00026,0,0,0,0,4.37762,9.49991,303.538,25.5299,0.0018812,0.0018812,0.0018812
14,86.2746,2.66017,1.26998,19.9957,2.24993,0,0,0,0,0,0,0,0,4.47906,99.5576,24605.7,496.185,0.0018713,0.0018713,0.0018713
15,92.4515,2.87998,1.69048,17.1306,2.47688,0,0,0,0,0,0,0,0,4.47906,99.5576,24605.7,496.185,0.0018614,0.0018614,0.0018614
16,98.911,2.59883,1.55049,17.4696,2.28148,0,0,0,0,0,0,0,0,4.47906,99.5576,24605.7,496.185,0.0018515,0.0018515,0.0018515
17,105.379,2.52629,1.5527,15.9161,2.30181,0,0,0,0,0,0,0,0,4.47906,99.5576,24605.7,496.185,0.0018416,0.0018416,0.0018416
18,112.388,2.42519,1.50368,12.4242,2.09981,0.00111,0.05556,0.00088,0.00012,0,0,0,0,4.50844,2559.97,19422.7,626.77,0.0018317,0.0018317,0.0018317
19,118.376,2.41936,1.51841,10.4652,2.17289,0.00111,0.05556,0.00088,0.00012,0,0,0,0,4.50844,2559.97,19422.7,626.77,0.0018218,0.0018218,0.0018218
20,124.455,2.43363,1.31612,11.1382,2.0772,0.00111,0.05556,0.00088,0.00012,0,0,0,0,4.50844,2559.97,19422.7,626.77,0.0018119,0.0018119,0.0018119
21,130.667,2.62096,2.01612,9.47144,2.2951,0.00111,0.05556,0.00088,0.00012,0,0,0,0,4.50844,2559.97,19422.7,626.77,0.001802,0.001802,0.001802
22,136.886,2.45457,1.25347,7.35305,2.19723,0,0,0,0,0,0,0,0,5.40444,4484.51,158719,4322.96,0.0017921,0.0017921,0.0017921
23,143.055,2.66622,1.43047,6.90586,2.31401,0,0,0,0,0,0,0,0,5.40444,4484.51,158719,4322.96,0.0017822,0.0017822,0.0017822
24,148.883,2.42872,1.24774,7.26279,2.15915,0,0,0,0,0,0,0,0,5.40444,4484.51,158719,4322.96,0.0017723,0.0017723,0.0017723
25,154.969,2.57063,1.29214,6.55062,2.2716,0.00056,0.02778,0.0003,3e-05,0,0,0,0,4.64318,42.2301,6381.38,130.414,0.0017624,0.0017624,0.0017624
26,160.646,2.58405,1.19729,5.25267,2.26593,0.00056,0.02778,0.0003,3e-05,0,0,0,0,4.64318,42.2301,6381.38,130.414,0.0017525,0.0017525,0.0017525
27,166.326,2.59114,1.15638,5.35061,2.36512,0.00056,0.02778,0.0003,3e-05,0,0,0,0,4.64318,42.2301,6381.38,130.414,0.0017426,0.0017426,0.0017426
28,172.2,2.78273,1.22125,5.29202,2.35962,0.00056,0.02778,0.0003,3e-05,0,0,0,0,4.64318,42.2301,6381.38,130.414,0.0017327,0.0017327,0.0017327
29,179.756,2.4817,1.83933,4.72804,2.26337,0,0,0,0,0,0,0,0,3.81915,6.59593,475.333,29.5393,0.0017228,0.0017228,0.0017228
